,location,Super Market,Supermarket
123,Kaggadasapura,,"Vignan Nagar, Bengaluru (Star Market),Vignan Nagar, Bengaluru (Star Market),"
124,Kaggalipura,,
125,Kaikondrahalli,,
126,Kalena Agrahara,,"Star Bazaar Gottigere,Star Bazaar Gottigere,"
127,Kalyan nagar,,
128,Kambipura,,
129,Kammanahalli,,"Big Bazaar FBB-BENGALURU- KAMMANAHALLI,Big Bazaar FBB-BENGALURU- KAMMANAHALLI,"
130,Kammasandra,,
131,Kanakapura,,
132,Kanakpura Road,,
133,Kannamangala,,
134,Karuna Nagar,,
135,Kasavanhalli,,
136,Kasturi Nagar,,
137,Kathriguppe,,"Namdhari's Fresh,Namdhari's Fresh,"
138,Kaval Byrasandra,,
139,Kenchenahalli,,
140,Kengeri,,"Metro Bengaluru-Mysore Road,Metro Bengaluru-Mysore Road,"
141,Kengeri Satellite Town,,
142,Kereguddadahalli,,
143,Kodichikkanahalli,,
144,Kodigehaali,,
145,Kodigehalli,,
146,Kodihalli,,
147,Kogilu,,
148,Konanakunte,,"Metro Bengaluru-Kanakapura Road,Metro Bengaluru-Kanakapura Road,"
149,Koramangala,,"SPAR Hypermarket Oasis Center,Namdhari's Fresh,Reliance Fresh Koramangala 8th Block (Opt II),Nature's Basket - Koramangala,BB-Bengaluru-koramangala,Big Bazaar FBB-BENGALURU-KORAMANGALA2,Koramangala, Bengaluru (Star Hyper),SPAR Hypermarket Oasis Center,"
150,Kothannur,,
151,Kothanur,,
152,Kudlu,,
153,Kudlu Gate,,
154,Kumaraswami Layout,,
155,Kundalahalli,,"Big Bazaar HYPERCITY-BENGALURU-KUNDALAHALLI GATE,Big Bazaar HYPERCITY-BENGALURU-KUNDALAHALLI GATE,"
156,LB Shastri Nagar,,
157,Laggere,,
158,Lakshminarayana Pura,,
159,Lingadheeranahalli,,
160,Magadi Road,,"Easyday Club Bengaluru Magadi Road,Easyday Club Bengaluru Magadi Road,"
161,Mahadevpura,,"Metro Bengaluru-Whitefield,Metro Bengaluru-Whitefield,"
162,Mahalakshmi Layout,,
163,Mallasandra,,"Reliance Fresh Mallasandra,Reliance Fresh Mallasandra,"
164,Malleshpalya,,
165,Malleshwaram,,"Reliance Fresh Malleshwaram 8th,SPAR Hypermarket Mantri Square Mall,Reliance Fresh Malleshwaram 8th,"
166,Marathahalli,,"FBB-Bengaluru- Sirajpura Ring Raod-soul Space Spirit,FBB-Bengaluru- Sirajpura Ring Raod-soul Space Spirit,"
167,Margondanahalli,,
168,Marsur,,
169,Mico Layout,,
170,Munnekollal,,"Varthur, Bengaluru (Star Hyper),Varthur, Bengaluru (Star Hyper),"
171,Murugeshpalya,,"FBB-Bengaluru- Murugeshpalya-kemp Fort Mall,FBB-Bengaluru- Murugeshpalya-kemp Fort Mall,"
172,Mysore Road,,"Total Superstore,RR Nagar, Bengaluru (Star Hyper),Total Superstore,"
173,NGR Layout,,
174,NRI Layout,,
175,Nagarbhavi,,"FBB-BENGALURU-GAOURISHANKAR-NAGARBHAVI,Nagarabhavi Circle, Bengaluru (Star Market),FBB-BENGALURU-GAOURISHANKAR-NAGARBHAVI,"
176,Nagasandra,,
177,Nagavara,,"SPAR Hypermarket Gopalan Signature Mall,SPAR Hypermarket Gopalan Signature Mall,"
178,Nagavarapalya,,"SPAR Hypermarket Gopalan Signature Mall,SPAR Hypermarket Gopalan Signature Mall,"
179,Narayanapura,,
180,Neeladri Nagar,,"Nature's Basket - Electronic City,Nature's Basket - Electronic City,"
181,Nehru Nagar,,
182,OMBR Layout,,
183,Old Airport Road,,"Total Superstore,Total Superstore,"
184,Old Madras Road,,
185,Padmanabhanagar,,
186,Pai Layout,,
187,Panathur,,"Panathur Road, Bengaluru (Star Market),Panathur Road, Bengaluru (Star Market),"
188,Parappana Agrahara,,
189,Pattandur Agrahara,,
190,Poorna Pragna Layout,,
191,Prithvi Layout,,
192,R.T. Nagar,,
193,Rachenahalli,,
194,Raja Rajeshwari Nagar,,
195,Rajaji Nagar,,
196,Rajiv Nagar,,
197,Ramagondanahalli,,"Nature's Basket - Whitefield,Nature's Basket - Whitefield,"
198,Ramamurthy Nagar,,"Easyday Club Bengaluru Ramamurthy Nagar,Easyday Club Bengaluru Ramamurthy Nagar,"
199,Rayasandra,,
200,Sahakara Nagar,,"Namdhari's Fresh,Nature's Basket - Sahakaranagar,Namdhari's Fresh,"
201,Sanjay nagar,,
202,Sarakki Nagar,,
